fight_id,fighter_id,round,knockdowns,strikes_att,strikes_succ,head_strikes_att,head_strikes_succ,body_strikes_att,body_strikes_succ,leg_strikes_att,leg_strikes_succ,distance_strikes_att,distance_strikes_succ,ground_strikes_att,ground_strikes_succ,clinch_strikes_att,clinch_strikes_succ,total_strikes_att,total_strikes_succ,takedown_att,takedown_succ,submission_att,reversals,ctrl_time
002cb1bb411c5f60,22e47b53e4ceb27c,4,0,16,3,13,2,3,1,0,0,16,3,0,0,0,0,17,4,0,0,0,0,0:00
002cb1bb411c5f60,22e47b53e4ceb27c,5,0,7,4,3,1,4,3,0,0,5,3,0,0,2,1,9,6,1,1,0,0,0:05
002cb1bb411c5f60,d897897060f10a3a,1,1,67,32,53,20,12,10,2,2,65,30,0,0,2,2,67,32,0,0,0,0,0:03
002cb1bb411c5f60,d897897060f10a3a,2,1,64,35,49,23,14,11,1,1,39,15,7,6,18,14,86,56,1,1,0,0,1:27
002cb1bb411c5f60,d897897060f10a3a,3,0,47,25,35,15,12,10,0,0,25,12,1,1,21,12,57,35,2,1,0,0,1:35
002cb1bb411c5f60,d897897060f10a3a,4,0,47,24,40,19,7,5,0,0,36,15,8,7,3,2,73,47,1,1,0,0,1:47
002cb1bb411c5f60,d897897060f10a3a,5,0,19,11,13,5,6,6,0,0,7,2,10,7,2,2,56,41,2,2,0,1,3:45
0031c043c9f14eb8,cbd5d3cdd862e90e,1,0,25,8,20,5,4,2,1,1,18,5,3,0,4,3,32,14,4,3,0,0,2:12
0031c043c9f14eb8,cbd5d3cdd862e90e,2,0,35,16,31,12,2,2,2,2,25,10,3,2,7,4,39,20,2,0,0,1,1:31
0031c043c9f14eb8,cbd5d3cdd862e90e,3,0,10,5,9,5,1,0,0,0,10,5,0,0,0,0,11,6,2,0,0,0,0:05
0031c043c9f14eb8,f9f07bb5a43535ed,1,0,42,14,23,4,9,2,10,8,36,12,0,0,6,2,78,46,0,0,0,0,0:00
0031c043c9f14eb8,f9f07bb5a43535ed,2,0,64,23,47,10,7,5,10,8,52,17,2,1,10,5,82,40,2,0,0,0,0:09
0031c043c9f14eb8,f9f07bb5a43535ed,3,0,64,35,54,29,6,3,4,3,13,3,43,28,8,4,101,63,0,0,1,1,3:58
003c84fc7c3fa028,49858bf46dabf6fb,1,0,64,25,42,6,11,9,11,10,64,25,0,0,0,0,64,25,0,0,0,0,0:00
003c84fc7c3fa028,49858bf46dabf6fb,2,0,81,31,50,13,15,7,16,11,81,31,0,0,0,0,81,31,0,0,0,0,0:00
003c84fc7c3fa028,49858bf46dabf6fb,3,0,56,34,33,13,13,11,10,10,54,33,2,1,0,0,56,34,0,0,0,0,0:03
003c84fc7c3fa028,873626e5547b5235,1,0,56,23,39,12,14,10,3,1,56,23,0,0,0,0,56,23,0,0,0,0,0:00
003c84fc7c3fa028,873626e5547b5235,2,0,59,20,44,10,10,8,5,2,57,19,0,0,2,1,59,20,1,0,0,0,0:00
003c84fc7c3fa028,873626e5547b5235,3,0,38,9,30,5,6,4,2,0,38,9,0,0,0,0,39,10,1,0,0,0,0:00
00414fc5519233b4,3d074044a33825e7,1,1,56,31,50,27,3,1,3,3,43,22,4,3,9,6,56,31,0,0,0,0,0:03
