fight_id,event_id,referee,fighter_1,fighter_2,winner,num_rounds,title_fight,weight_class,gender,result,result_details,finish_round,finish_time,time_format,scores_1,scores_2
e36b8b88646f72f8,1e13936d708bcff7,Herb Dean,215a70f073a7b726,f57dd0bfa8c17813,215a70f073a7b726,3,F,Bantamweight,M,Decision,Unanimous,3,5:00,3 Rnd (5-5-5),90,80
e857ca0bc3b9fdcd,1e13936d708bcff7,Dan Miragliotta,37d5b176d438d2a5,7acbb0972e75281a,7acbb0972e75281a,3,F,Middleweight,M,Submission,Rear Naked Choke,1,4:17,3 Rnd (5-5-5),,
21be9181725ab599,1ef0eae31904e534,Chris Tognoni,2eeaefbfc7f9fcff,3143bf892608139a,3143bf892608139a,3,F,Women's Bantamweight,F,Decision,Unanimous,3,5:00,3 Rnd (5-5-5),81,90
397ace87deeb8697,1ef0eae31904e534,Herb Dean,d3df1add9d9a7efb,279566840aa55bf2,d3df1add9d9a7efb,3,F,Heavyweight,M,KO/TKO,Punches to Head At Distance,3,4:49,3 Rnd (5-5-5),,
3c5442bb62ca1505,1ef0eae31904e534,Dan Miragliotta,50db8711c70196cd,2e19380f34871c6a,2e19380f34871c6a,3,F,Light Heavyweight,M,Decision,Unanimous,3,5:00,3 Rnd (5-5-5),81,90
3eea92e7f26fb05b,1ef0eae31904e534,Herb Dean,032cc3922d871c7f,f4c49976c75c5ab2,032cc3922d871c7f,5,T,Lightweight,M,Submission,Rear Naked Choke,4,3:03,5 Rnd (5-5-5-5-5),,
48ea8a30f7b88cfc,1ef0eae31904e534,Dan Miragliotta,6d4b63c767106d3a,4d8fa64202cee4c1,6d4b63c767106d3a,3,F,Welterweight,M,KO/TKO,Punches to Head From Guard,1,3:52,3 Rnd (5-5-5),,
68ba4aca75b02496,1ef0eae31904e534,Chris Tognoni,4c7781da8c6cae93,5331b25a60417ffb,5331b25a60417ffb,3,F,Welterweight,M,KO/TKO,Kick to Head At Distance,3,1:00,3 Rnd (5-5-5),,
8f5482992dad74d2,1ef0eae31904e534,Herb Dean,de75d1c45a39e221,b102c26727306ab6,b102c26727306ab6,3,F,Flyweight,M,Decision,Unanimous,3,5:00,3 Rnd (5-5-5),82,88
8f6dda53ea3b09c7,1ef0eae31904e534,Jason Herzog,22a92d7f62195791,cbb682f5fcc44bfc,22a92d7f62195791,3,F,Lightweight,M,KO/TKO,"to    
      Corner Stoppage",2,5:00,3 Rnd (5-5-5),,
