event_id,fight_id,fighter1_name,fighter2_name,winner,fighter1_fight_no,fighter2_fight_no,weight_class,gender,time_format,fighter1_total_fights,fighter1_win_ratio,fighter1_recent_win_ratio,fighter1_height,fighter1_weight,fighter1_reach,fighter1_stance,fighter1_age,fighter1_form_score,fighter1_avg_strikes_landed,fighter1_avg_strikes_attempted,fighter1_avg_strikes_accuracy,fighter1_avg_takedowns,fighter1_avg_takedown_accuracy,fighter1_avg_knockdowns,fighter1_ko_ratio,fighter1_avg_control_time,fighter1_head_accuracy,fighter1_head_per_round,fighter1_body_accuracy,fighter1_body_per_round,fighter1_leg_accuracy,fighter1_leg_per_round,fighter1_distance_accuracy,fighter1_distance_per_round,fighter1_clinch_accuracy,fighter1_clinch_per_round,fighter1_ground_accuracy,fighter1_ground_per_round,fighter2_total_fights,fighter2_win_ratio,fighter2_recent_win_ratio,fighter2_height,fighter2_weight,fighter2_reach,fighter2_stance,fighter2_age,fighter2_form_score,fighter2_avg_strikes_landed,fighter2_avg_strikes_attempted,fighter2_avg_strikes_accuracy,fighter2_avg_takedowns,fighter2_avg_takedown_accuracy,fighter2_avg_knockdowns,fighter2_ko_ratio,fighter2_avg_control_time,fighter2_head_accuracy,fighter2_head_per_round,fighter2_body_accuracy,fighter2_body_per_round,fighter2_leg_accuracy,fighter2_leg_per_round,fighter2_distance_accuracy,fighter2_distance_per_round,fighter2_clinch_accuracy,fighter2_clinch_per_round,fighter2_ground_accuracy,fighter2_ground_per_round
94609dd91731d428,9cd343b9d5d87528,0ee783aa00e468f0,0aa92558424ced9e,0ee783aa00e468f0,7,3,Light Heavyweight,M,5 Rnd (5-5-5-5-5),1,1.0,1.0,72.0,185.0,74.0,Southpaw,26.833675564681723,0.5,15.0,24.0,0.625,1.0,1.0,0.0,1.0,0.0,0.5909090909090909,13.0,1.0,2.0,0.0,0.0,1.0,1.0,0.6363636363636364,7.0,0.5833333333333334,7.0,2,1.0,1.0,73.0,205.0,75.0,Orthodox,40.610540725530456,0.9,64.5,94.0,0.6861702127659575,5.5,0.6470588235294118,0.0,0.5,0.0,0.609271523178808,11.5,1.0,1.5,1.0,3.125,0.6129032258064516,2.375,0.9090909090909091,2.5,0.6666666666666666,11.25
e8fb8e53bc2e29d6,2dbd0bc3e61ca00b,a390eb8a9b2df298,2f732dd9210d301f,a390eb8a9b2df298,9,4,Light Heavyweight,M,3 Rnd (5-5-5),1,1.0,1.0,74.0,205.0,76.0,Orthodox,34.29158110882957,0.5,3.0,5.0,0.6,0.0,0.0,1.0,1.0,0.0,0.5,2.0,1.0,1.0,0.0,0.0,0.5,2.0,1.0,1.0,0.0,0.0,1,0.0,0.0,75.0,205.0,74.0,Orthodox,29.190965092402465,-0.5,16.0,30.0,0.5333333333333333,2.0,0.3333333333333333,0.0,0.0,0.0,0.1875,0.6,0.9166666666666666,2.2,1.0,0.4,0.09090909090909091,0.2,0.7777777777777778,2.8,1.0,0.2
429e7d3725852ce9,7014356795515aea,8f2d9ee27f206f1f,1652f3213655b935,8f2d9ee27f206f1f,8,4,Middleweight,M,3 Rnd (5-5-5),1,1.0,1.0,72.0,185.0,74.0,Orthodox,33.35249828884326,0.5,28.0,34.0,0.8235294117647058,1.0,0.25,0.0,1.0,0.0,0.8,16.0,0.75,6.0,1.0,6.0,0.8571428571428571,6.0,0.9,9.0,0.7647058823529411,13.0,1,0.0,0.0,69.0,170.0,72.0,Orthodox,28.175222450376456,-0.5,17.0,32.0,0.53125,0.0,0.0,2.0,1.0,0.0,0.5,14.0,0.75,3.0,0.0,0.0,0.4,6.0,0.7333333333333333,11.0,0.0,0.0
b4bc2e3353a770b5,977e56ada4acc596,0aa92558424ced9e,0ee783aa00e468f0,0aa92558424ced9e,10,3,Light Heavyweight,M,5 Rnd (5-5-5-5-5),3,0.6666666666666666,0.6666666666666666,73.0,205.0,75.0,Orthodox,41.16632443531827,0.20000000000000007,43.333333333333336,63.333333333333336,0.6842105263157895,3.6666666666666665,0.6470588235294118,0.0,0.3333333333333333,0.0,0.6052631578947368,10.222222222222221,1.0,1.3333333333333333,1.0,2.888888888888889,0.6060606060606061,2.2222222222222223,0.9090909090909091,2.2222222222222223,0.6666666666666666,10.0,2,1.0,1.0,72.0,185.0,74.0,Southpaw,27.38945927446954,0.9,8.0,12.5,0.64,0.5,1.0,0.0,0.5,0.0,0.6086956521739131,7.0,1.0,1.0,0.0,0.0,1.0,1.0,0.6363636363636364,3.5,0.5833333333333334,3.5
ce783bf73b5131f9,929fb67b49eaa405,8f2d9ee27f206f1f,f2925e6db404bf1d,8f2d9ee27f206f1f,9,3,Middleweight,M,3 Rnd (5-5-5),2,1.0,1.0,72.0,185.0,74.0,Orthodox,33.69472963723477,0.9,50.5,68.0,0.7426470588235294,3.0,0.375,0.0,0.5,0.0,0.696078431372549,17.75,0.84,5.25,1.0,2.25,0.6428571428571429,11.25,0.9032258064516129,7.0,0.8,7.0,1,1.0,1.0,71.0,170.0,74.0,Southpaw,22.5927446954141,0.5,5.0,11.0,0.45454545454545453,0.0,0.0,1.0,1.0,0.0,0.45454545454545453,5.0,0.0,0.0,0.0,0.0,0.4444444444444444,4.0,0.0,0.0,0.5,1.0
85d905f7c4f5a1af,4fb2c181e8fd5910,2f732dd9210d301f,0ee783aa00e468f0,2f732dd9210d301f,11,4,Light Heavyweight,M,3 Rnd (5-5-5),2,0.0,0.0,75.0,205.0,74.0,Orthodox,30.036960985626283,-0.9,14.5,31.0,0.46774193548387094,1.0,0.25,0.0,0.5,0.0,0.24390243902439024,1.4285714285714286,0.9166666666666666,1.5714285714285714,0.8888888888888888,1.1428571428571428,0.32558139534883723,2.0,0.7777777777777778,2.0,1.0,0.14285714285714285,3,0.6666666666666666,0.6666666666666666,72.0,185.0,74.0,Southpaw,27.849418206707735,0.20000000000000007,6.333333333333333,10.333333333333334,0.6129032258064516,0.3333333333333333,1.0,0.0,0.3333333333333333,0.0,0.5555555555555556,3.0,1.0,0.8,0.0,0.0,0.4,0.4,0.6923076923076923,1.8,0.6153846153846154,1.6
c933d423ebdbbbdb,2ae8623ef4156105,a390eb8a9b2df298,0aa92558424ced9e,a390eb8a9b2df298,11,4,Light Heavyweight,M,5 Rnd (5-5-5-5-5),2,1.0,1.0,74.0,205.0,76.0,Orthodox,35.32922655715264,0.9,13.0,35.0,0.37142857142857144,0.0,0.0,1.0,1.0,0.0,0.3582089552238806,8.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.36231884057971014,8.333333333333334,1.0,0.3333333333333333,0.0,0.0,4,0.75,0.6666666666666666,73.0,205.0,75.0,Orthodox,41.817932922655714,0.6000000000000001,45.0,65.25,0.6896551724137931,3.25,0.6190476190476191,0.0,0.25,0.0,0.6346153846153846,11.0,0.8823529411764706,1.25,0.9166666666666666,2.75,0.5675675675675675,1.75,0.7659574468085106,3.0,0.6949152542372882,10.25
d3711d3784b76255,98cc8f5dd64895c4,d897897060f10a3a,8f2d9ee27f206f1f,d897897060f10a3a,5,3,Middleweight,M,5 Rnd (5-5-5-5-5),1,1.0,1.0,73.0,185.0,76.0,Southpaw,30.663928815879533,0.5,23.0,36.0,0.6388888888888888,0.0,0.0,0.0,1.0,0.0,0.6060606060606061,20.0,1.0,3.0,0.0,0.0,0.42857142857142855,6.0,0.0,0.0,0.85,17.0,3,1.0,1.0,72.0,185.0,74.0,Orthodox,34.31074606433949,1.2000000000000002,35.666666666666664,51.0,0.6993464052287581,2.0,0.375,0.0,0.3333333333333333,0.0,0.6403508771929824,14.6,0.8461538461538461,4.4,0.9230769230769231,2.4,0.5862068965517241,10.2,0.9032258064516129,5.6,0.8,5.6
977081bc01197656,0e94e0a8c2130cea,a390eb8a9b2df298,0aa92558424ced9e,a390eb8a9b2df298,13,5,Light Heavyweight,M,5 Rnd (5-5-5-5-5),4,1.0,1.0,74.0,205.0,76.0,Orthodox,36.134154688569474,1.4000000000000001,25.75,71.75,0.3588850174216028,0.0,0.0,1.25,1.0,0.0,0.33935018050541516,11.75,0.8,0.5,1.0,0.625,0.34901960784313724,11.125,0.5,0.125,0.43333333333333335,1.625,5,0.6,0.3333333333333333,73.0,205.0,75.0,Orthodox,42.62286105407255,-0.09999999999999995,37.8,57.0,0.6631578947368421,2.6,0.6190476190476191,0.0,0.4,0.0,0.6086956521739131,10.76923076923077,0.8333333333333334,1.1538461538461537,0.918918918918919,2.6153846153846154,0.5,2.230769230769231,0.74,2.8461538461538463,0.6949152542372882,9.461538461538462
f70144caea5c4c80,3c3533ba486a2006,2a542ee8a8b83559,3738e68d2261e60f,2a542ee8a8b83559,7,4,Heavyweight,M,5 Rnd (5-5-5-5-5),2,1.0,1.0,80.0,265.0,80.0,Orthodox,30.340862422997947,0.9,22.0,49.5,0.4444444444444444,0.0,0.0,1.0,1.0,0.0,0.39325842696629215,17.5,1.0,1.0,0.875,3.5,0.39325842696629215,17.5,0.75,1.5,1.0,3.0,1,0.0,0.0,75.0,240.0,77.0,Orthodox,27.422313483915126,-0.5,11.0,24.0,0.4583333333333333,0.0,0.0,1.0,1.0,0.0,0.3888888888888889,7.0,0.6,3.0,1.0,1.0,0.45,9.0,0.5,2.0,0.0,0.0
