win,weight_diff,height_diff,reach_diff,age_diff,fighter_form_score,opponent_form_score,fighter_fight_no,opponent_fight_no,fighter_win_ratio,fighter_recent_win_ratio,opponent_win_ratio,opponent_recent_win_ratio,fighter_strikes_landed,fighter_strikes_attempted,fighter_strikes_accuracy,opponent_strikes_landed,opponent_strikes_attempted,opponent_strikes_accuracy,fighter_takedowns,fighter_takedown_accuracy,opponent_takedowns,opponent_takedown_accuracy,fighter_knockdowns,fighter_ko_ratio,opponent_knockdowns,opponent_ko_ratio,fighter_control_time,opponent_control_time
1,-60.0,-7.0,-5.0,12.703627652292948,-0.7,1.4000000000000001,12,3,0.5,0.3333333333333333,1.0,1.0,32.666666666666664,51.5,0.6343042071197411,47.5,134.25,0.3538175046554935,2.3333333333333335,0.5833333333333334,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0
1,0.0,-2.0,2.0,-9.125256673511291,0.5,-1.2000000000000002,6,7,1.0,1.0,0.0,0.0,63.0,142.0,0.44366197183098594,18.0,30.0,0.6,0.0,0.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0
1,15.0,2.0,3.0,-7.597535934291582,0.9,0.6000000000000001,9,4,1.0,1.0,0.75,0.6666666666666666,35.0,62.0,0.5645161290322581,29.0,56.25,0.5155555555555555,1.0,1.0,1.75,0.3333333333333333,1.0,0.5,0.0,0.75,0.0,0.0
1,0.0,3.0,5.0,0.8104038329911027,0.9,0.5,6,3,1.0,1.0,1.0,1.0,18.5,52.5,0.3523809523809524,44.0,87.0,0.5057471264367817,1.5,0.42857142857142855,3.0,0.23076923076923078,0.0,0.0,1.0,0.0,0.0,0.0
1,15.0,2.0,,-6.483230663928818,-0.5,-0.5,3,4,0.0,0.0,0.0,0.0,25.0,62.0,0.4032258064516129,3.0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,-1.0,-2.0,-1.0978781656399725,0.9,1.2000000000000002,7,3,1.0,1.0,1.0,1.0,51.0,116.0,0.4396551724137931,47.0,113.33333333333333,0.4147058823529412,0.0,0.0,6.0,0.782608695652174,0.5,0.0,0.0,0.0,0.0,0.0
1,0.0,2.0,1.0,-1.3990417522245053,0.9,-0.5,10,4,1.0,1.0,0.0,0.0,60.0,154.0,0.38961038961038963,8.0,16.0,0.5,0.0,0.0,3.0,0.6,0.0,0.5,0.0,0.0,0.0,0.0
1,15.0,5.0,8.0,-6.962354551676935,1.2000000000000002,0.09999999999999998,10,5,1.0,1.0,0.5,0.5,32.666666666666664,54.666666666666664,0.5975609756097561,23.0,52.0,0.4423076923076923,1.6666666666666667,1.0,1.0,0.1111111111111111,0.6666666666666666,0.3333333333333333,0.5,0.0,0.0,0.0
1,0.0,3.0,3.0,-5.355236139630389,-0.9,0.9,10,3,0.0,0.0,1.0,1.0,42.0,65.0,0.6461538461538462,37.0,105.0,0.3523809523809524,2.5,0.5555555555555556,9.0,0.47368421052631576,0.0,0.5,0.0,0.0,0.0,0.0
1,0.0,0.0,-3.0,-9.971252566735117,1.2000000000000002,-0.09999999999999995,8,5,1.0,1.0,0.6,0.3333333333333333,39.666666666666664,93.33333333333333,0.425,24.2,47.6,0.5084033613445378,0.0,0.0,1.4,0.2916666666666667,0.6666666666666666,0.3333333333333333,0.0,0.6,0.0,0.0
